year,month,day,repository_language,pushes_by_lang
2014,1,1,JavaScript,82679
2014,1,1,null,56151
2014,1,1,Java,55238
2014,1,1,Python,39029
2014,1,1,CSS,36955
2014,1,1,Ruby,35244
2014,1,1,PHP,34669
2014,1,1,C,25370
2014,1,1,C++,24969
2014,1,1,C#,16674
2014,1,1,Shell,14828
2014,1,1,Objective-C,7200
2014,1,1,VimL,4285
2014,1,1,Go,4023
2014,1,1,TeX,3612
2014,1,1,Perl,3401
2014,1,1,CoffeeScript,3374
2014,1,1,Lua,3080
2014,1,1,Scala,3002
2014,1,1,Haskell,2295
2014,1,1,Emacs Lisp,2247
2014,1,1,R,2056
2014,1,1,Clojure,1724
2014,1,1,TypeScript,1291
2014,1,1,ActionScript,1167
2014,1,1,Matlab,837
2014,1,1,Rust,815
2014,1,1,Puppet,783
2014,1,1,Arduino,761
2014,1,1,Groovy,742
2014,1,1,ASP,622
2014,1,1,Dart,572
2014,1,1,Processing,550
2014,1,1,D,547
2014,1,1,Erlang,533
2014,1,1,OCaml,519
2014,1,1,Assembly,512
2014,1,1,XSLT,485
2014,1,1,Common Lisp,445
2014,1,1,Scheme,425
2014,1,1,Julia,420
2014,1,1,Pascal,412
2014,1,1,Haxe,380
2014,1,1,DM,374
2014,1,1,Visual Basic,361
2014,1,1,PowerShell,353
2014,1,1,F#,329
2014,1,1,Racket,219
2014,1,1,Elixir,211
2014,1,1,VHDL,176
2014,1,1,FORTRAN,164
2014,1,1,BlitzBasic,162
2014,1,1,XML,157
2014,1,1,Vala,156
2014,1,1,LiveScript,149
2014,1,1,Verilog,135
2014,1,1,IDL,135
2014,1,1,DOT,121
2014,1,1,Logos,112
2014,1,1,Tcl,98
2014,1,1,AutoHotkey,97
2014,1,1,Objective-J,97
2014,1,1,Standard ML,91
2014,1,1,ColdFusion,90
2014,1,1,Smalltalk,82
2014,1,1,UnrealScript,69
2014,1,1,OpenEdge ABL,66
2014,1,1,Coq,65
2014,1,1,AppleScript,63
2014,1,1,Ada,62
2014,1,1,Max,54
2014,1,1,AutoIt,53
2014,1,1,nesC,48
2014,1,1,Idris,43
2014,1,1,Elm,42
2014,1,1,Awk,41
2014,1,1,XQuery,38
2014,1,1,Perl6,37
2014,1,1,Dylan,35
2014,1,1,Eiffel,33
2014,1,1,Ceylon,32
2014,1,1,Nimrod,32
2014,1,1,Xtend,32
2014,1,1,M,31
2014,1,1,XC,28
2014,1,1,Brightscript,28
2014,1,1,SuperCollider,27
2014,1,1,Apex,25
2014,1,1,Slash,23
2014,1,1,HaXe,21
2014,1,1,Kotlin,19
2014,1,1,MoonScript,18
2014,1,1,Lasso,17
2014,1,1,Io,17
2014,1,1,Gosu,16
2014,1,1,Pure Data,16
2014,1,1,COBOL,15
2014,1,1,Agda,15
2014,1,1,ANTLR,14
2014,1,1,Squirrel,13
2014,1,1,Prolog,12
2014,1,1,Arc,11
2014,1,1,Pike,11
2014,1,1,Crystal,10
2014,1,1,Parrot,10
2014,1,1,ooc,10
2014,1,1,XProc,10
2014,1,1,xBase,10
2014,1,1,NetLogo,8
2014,1,1,CLIPS,7
2014,1,1,Nemerle,6
2014,1,1,Nu,6
2014,1,1,Turing,6
2014,1,1,Factor,6
2014,1,1,Boo,5
2014,1,1,Bluespec,5
2014,1,1,Self,4
2014,1,1,DCPU-16 ASM,4
2014,1,1,Ragel in Ruby Host,4
2014,1,1,Delphi,3
2014,1,1,Scilab,3
2014,1,1,Clean,3
2014,1,1,REALbasic,3
2014,1,1,Forth,3
2014,1,1,Mirah,2
2014,1,1,PogoScript,2
2014,1,1,Monkey,2
2014,1,1,Logtalk,1
2014,1,1,J,1
2014,1,2,JavaScript,106410
2014,1,2,Java,72099
2014,1,2,null,63992
2014,1,2,Python,54763
2014,1,2,PHP,50416
2014,1,2,Ruby,49491
2014,1,2,CSS,47650
2014,1,2,C++,32909
2014,1,2,C,29679
2014,1,2,Shell,19572
2014,1,2,C#,13909
2014,1,2,Objective-C,9519
2014,1,2,VimL,5673
2014,1,2,Perl,5000
2014,1,2,TeX,4794
2014,1,2,Go,4640
2014,1,2,Scala,3912
2014,1,2,CoffeeScript,3846
2014,1,2,R,3104
2014,1,2,Lua,2658
2014,1,2,Emacs Lisp,2647
2014,1,2,Haskell,2415
2014,1,2,Clojure,2043
2014,1,2,Puppet,1558
2014,1,2,Matlab,1493
2014,1,2,TypeScript,1425
2014,1,2,Common Lisp,1365
2014,1,2,Groovy,1267
2014,1,2,Erlang,1011
2014,1,2,OCaml,872
2014,1,2,Rust,823
2014,1,2,ActionScript,813
2014,1,2,XSLT,770
2014,1,2,Arduino,717
2014,1,2,Processing,689
2014,1,2,Dart,680
2014,1,2,D,518
2014,1,2,Visual Basic,492
2014,1,2,Scheme,469
2014,1,2,PowerShell,468
2014,1,2,Julia,445
2014,1,2,Assembly,429
2014,1,2,Pascal,423
2014,1,2,ASP,415
2014,1,2,IDL,400
2014,1,2,FORTRAN,398
2014,1,2,F#,364
2014,1,2,DM,364
2014,1,2,VHDL,351
2014,1,2,Haxe,315
2014,1,2,DOT,295
2014,1,2,Racket,280
2014,1,2,ColdFusion,267
2014,1,2,Vala,219
2014,1,2,Elixir,210
2014,1,2,XML,197
2014,1,2,nesC,166
2014,1,2,BlitzBasic,158
2014,1,2,Logos,144
2014,1,2,M,143
2014,1,2,Tcl,142
2014,1,2,Verilog,135
2014,1,2,LiveScript,123
2014,1,2,Standard ML,112
2014,1,2,AutoHotkey,110
2014,1,2,Coq,104
2014,1,2,OpenEdge ABL,104
2014,1,2,Smalltalk,88
2014,1,2,Eiffel,87
2014,1,2,AppleScript,85
2014,1,2,UnrealScript,81
2014,1,2,Apex,80
2014,1,2,Ada,71
2014,1,2,Max,66
2014,1,2,xBase,56
2014,1,2,Xtend,54
2014,1,2,Lasso,46
2014,1,2,XQuery,44
2014,1,2,Objective-J,38
2014,1,2,SuperCollider,36
2014,1,2,Awk,35
2014,1,2,Perl6,34
2014,1,2,Dylan,34
2014,1,2,COBOL,33
2014,1,2,Scilab,33
2014,1,2,ooc,30
2014,1,2,AutoIt,29
2014,1,2,Slash,29
2014,1,2,Agda,28
2014,1,2,Prolog,28
2014,1,2,Nimrod,28
2014,1,2,Ceylon,26
2014,1,2,Elm,24
2014,1,2,Pure Data,22
2014,1,2,Boo,21
2014,1,2,Io,20
2014,1,2,Bluespec,19
2014,1,2,Kotlin,18
2014,1,2,XC,18
2014,1,2,Gosu,18
2014,1,2,Brightscript,17
2014,1,2,Nemerle,17
2014,1,2,Logtalk,17
2014,1,2,Squirrel,16
2014,1,2,HaXe,15
2014,1,2,MoonScript,14
2014,1,2,Bro,14
2014,1,2,Crystal,13
2014,1,2,NetLogo,12
2014,1,2,DCPU-16 ASM,11
2014,1,2,Pike,10
2014,1,2,Volt,10
2014,1,2,Factor,10
2014,1,2,CLIPS,9
2014,1,2,Parrot,9
2014,1,2,Idris,9
2014,1,2,ANTLR,9
2014,1,2,XProc,8
2014,1,2,Forth,7
2014,1,2,Clean,7
2014,1,2,J,7
2014,1,2,Mirah,6
2014,1,2,REALbasic,6
2014,1,2,Arc,6
2014,1,2,Augeas,6
2014,1,2,PogoScript,4
2014,1,2,Delphi,4
2014,1,2,Omgrofl,3
2014,1,2,Nu,3
2014,1,2,Monkey,3
2014,1,2,Ragel in Ruby Host,2
2014,1,2,Turing,2
2014,1,2,Rouge,2
2014,1,2,Self,2
2014,1,2,Glyph,1
2014,1,2,KRL,1
2014,1,2,ABAP,1
2014,1,2,Ecl,1
2014,1,2,Oxygene,1
2014,1,3,JavaScript,107591
2014,1,3,Java,76947
2014,1,3,null,67793
2014,1,3,Python,57050
2014,1,3,PHP,53646
2014,1,3,Ruby,52467
2014,1,3,CSS,47953
2014,1,3,C++,34142
2014,1,3,C,30663
2014,1,3,Shell,20411
2014,1,3,C#,14305
2014,1,3,Objective-C,10417
2014,1,3,VimL,5745
2014,1,3,Perl,5405
2014,1,3,TeX,5075
2014,1,3,Go,4653
2014,1,3,Scala,4025
2014,1,3,CoffeeScript,3761
2014,1,3,R,3313
2014,1,3,Lua,2677
2014,1,3,Emacs Lisp,2541
2014,1,3,Haskell,2252
2014,1,3,Clojure,2162
2014,1,3,Puppet,1694
2014,1,3,Matlab,1681
2014,1,3,TypeScript,1401
2014,1,3,Groovy,1293
2014,1,3,Erlang,1058
2014,1,3,ActionScript,992
2014,1,3,OCaml,852
2014,1,3,Rust,832
2014,1,3,XSLT,816
2014,1,3,Arduino,763
2014,1,3,Dart,703
2014,1,3,IDL,688
2014,1,3,D,631
2014,1,3,Processing,609
2014,1,3,Scheme,550
2014,1,3,Common Lisp,510
2014,1,3,PowerShell,477
2014,1,3,Julia,452
2014,1,3,Visual Basic,433
2014,1,3,FORTRAN,424
2014,1,3,F#,419
2014,1,3,Assembly,386
2014,1,3,ASP,372
2014,1,3,Pascal,361
2014,1,3,DM,342
2014,1,3,VHDL,310
2014,1,3,Haxe,303
2014,1,3,Racket,265
2014,1,3,Elixir,248
2014,1,3,ColdFusion,247
2014,1,3,nesC,216
2014,1,3,Tcl,215
2014,1,3,XML,198
2014,1,3,Vala,194
2014,1,3,Verilog,174
2014,1,3,Logos,159
2014,1,3,DOT,145
2014,1,3,BlitzBasic,135
2014,1,3,LiveScript,126
2014,1,3,Eiffel,123
2014,1,3,AutoHotkey,115
2014,1,3,Lasso,95
2014,1,3,UnrealScript,93
2014,1,3,Coq,89
2014,1,3,Ada,86
2014,1,3,Max,83
2014,1,3,Standard ML,83
2014,1,3,OpenEdge ABL,83
2014,1,3,M,71
2014,1,3,AppleScript,70
2014,1,3,xBase,69
2014,1,3,Smalltalk,61
2014,1,3,Apex,61
2014,1,3,Perl6,53
2014,1,3,Agda,52
2014,1,3,XProc,50
2014,1,3,AutoIt,49
2014,1,3,Awk,48
2014,1,3,Bluespec,43
2014,1,3,SuperCollider,42
2014,1,3,Objective-J,42
2014,1,3,XQuery,40
2014,1,3,Kotlin,38
2014,1,3,XC,37
2014,1,3,Dylan,35
2014,1,3,Xtend,34
2014,1,3,Io,32
2014,1,3,Slash,32
2014,1,3,Gosu,29
2014,1,3,Brightscript,27
2014,1,3,Pure Data,25
2014,1,3,Elm,24
2014,1,3,Ceylon,24
2014,1,3,MoonScript,24
2014,1,3,Nimrod,22
2014,1,3,Prolog,20
2014,1,3,Parrot,20
2014,1,3,Logtalk,20
2014,1,3,Nemerle,19
2014,1,3,Crystal,17
2014,1,3,Pike,17
2014,1,3,Scilab,16
2014,1,3,ooc,13
2014,1,3,Squirrel,12
2014,1,3,Arc,11
2014,1,3,ANTLR,10
2014,1,3,Augeas,10
2014,1,3,Clean,9
2014,1,3,NetLogo,9
2014,1,3,Forth,8
2014,1,3,REALbasic,8
2014,1,3,Boo,7
2014,1,3,Factor,7
2014,1,3,HaXe,7
2014,1,3,CLIPS,6
2014,1,3,DCPU-16 ASM,6
2014,1,3,COBOL,6
2014,1,3,Turing,6
2014,1,3,Oxygene,5
2014,1,3,Glyph,4
2014,1,3,J,4
2014,1,3,Self,4
2014,1,3,Bro,4
2014,1,3,Delphi,4
2014,1,3,Volt,3
2014,1,3,Monkey,3
2014,1,3,Ragel in Ruby Host,3
2014,1,3,Idris,2
2014,1,3,Ecl,2
2014,1,3,Rebol,1
2014,1,3,eC,1
2014,1,3,KRL,1
2014,1,4,JavaScript,124754
2014,1,4,Java,86221
2014,1,4,null,84464
2014,1,4,Python,64255
2014,1,4,PHP,62736
2014,1,4,Ruby,57437
2014,1,4,CSS,55408
2014,1,4,C++,38476
2014,1,4,C,34589
2014,1,4,Shell,23459
2014,1,4,C#,16595
2014,1,4,Objective-C,11501
2014,1,4,VimL,6639
2014,1,4,Perl,6424
2014,1,4,Go,5312
2014,1,4,TeX,5231
2014,1,4,Scala,4328
2014,1,4,CoffeeScript,4279
2014,1,4,R,3891
2014,1,4,Lua,3188
2014,1,4,Emacs Lisp,3170
2014,1,4,Haskell,2904
2014,1,4,Clojure,2562
2014,1,4,Matlab,1850
2014,1,4,TypeScript,1829
2014,1,4,Puppet,1818
2014,1,4,Groovy,1595
2014,1,4,Erlang,1328
2014,1,4,XSLT,1022
2014,1,4,ActionScript,944
2014,1,4,Dart,938
2014,1,4,Rust,937
2014,1,4,OCaml,830
2014,1,4,Arduino,768
2014,1,4,IDL,731
2014,1,4,Common Lisp,727
2014,1,4,D,709
2014,1,4,Scheme,625
2014,1,4,Visual Basic,599
2014,1,4,Processing,556
2014,1,4,ASP,517
2014,1,4,Julia,517
2014,1,4,FORTRAN,514
2014,1,4,Assembly,510
2014,1,4,PowerShell,497
2014,1,4,F#,472
2014,1,4,Pascal,405
2014,1,4,DM,404
2014,1,4,Haxe,404
2014,1,4,VHDL,381
2014,1,4,Elixir,323
2014,1,4,Racket,285
2014,1,4,nesC,271
2014,1,4,ColdFusion,256
2014,1,4,BlitzBasic,230
2014,1,4,XML,209
2014,1,4,DOT,208
2014,1,4,Vala,198
2014,1,4,Tcl,186
2014,1,4,Verilog,170
2014,1,4,LiveScript,148
2014,1,4,Logos,148
2014,1,4,AutoHotkey,125
2014,1,4,Coq,118
2014,1,4,Standard ML,113
2014,1,4,OpenEdge ABL,109
2014,1,4,AppleScript,103
2014,1,4,Apex,92
2014,1,4,Slash,90
2014,1,4,Lasso,76
2014,1,4,UnrealScript,73
2014,1,4,M,73
2014,1,4,XQuery,70
2014,1,4,xBase,69
2014,1,4,Ada,63
2014,1,4,Smalltalk,63
2014,1,4,Xtend,60
2014,1,4,Max,57
2014,1,4,Bluespec,55
2014,1,4,Gosu,54
2014,1,4,Agda,54
2014,1,4,Eiffel,52
2014,1,4,AutoIt,52
2014,1,4,Dylan,49
2014,1,4,Brightscript,42
2014,1,4,Elm,42
2014,1,4,Awk,41
2014,1,4,Objective-J,39
2014,1,4,Perl6,39
2014,1,4,Prolog,38
2014,1,4,Ceylon,34
2014,1,4,Logtalk,31
2014,1,4,XC,30
2014,1,4,Nemerle,29
2014,1,4,Squirrel,27
2014,1,4,Arc,26
2014,1,4,SuperCollider,26
2014,1,4,Kotlin,24
2014,1,4,Io,23
2014,1,4,MoonScript,21
2014,1,4,Pike,20
2014,1,4,ANTLR,20
2014,1,4,XProc,19
2014,1,4,Nimrod,18
2014,1,4,Pure Data,18
2014,1,4,Idris,18
2014,1,4,REALbasic,18
2014,1,4,HaXe,17
2014,1,4,Scilab,17
2014,1,4,Parrot,16
2014,1,4,ooc,14
2014,1,4,CLIPS,13
2014,1,4,COBOL,13
2014,1,4,Boo,13
2014,1,4,Crystal,8
2014,1,4,Factor,8
2014,1,4,Forth,8
2014,1,4,DCPU-16 ASM,8
2014,1,4,Ecl,6
2014,1,4,Delphi,6
2014,1,4,PogoScript,5
2014,1,4,Oxygene,5
2014,1,4,Augeas,5
2014,1,4,Fantom,4
2014,1,4,KRL,4
2014,1,4,Bro,4
2014,1,4,ABAP,3
2014,1,4,NetLogo,3
2014,1,4,Monkey,3
2014,1,4,Clean,2
2014,1,4,Volt,2
2014,1,4,J,2
2014,1,4,Opa,2
2014,1,4,Turing,2
2014,1,4,Nu,1
2014,1,4,Mirah,1
2014,1,5,JavaScript,133818
2014,1,5,Java,91754
2014,1,5,null,87580
2014,1,5,Python,69546
2014,1,5,PHP,68031
2014,1,5,Ruby,62101
2014,1,5,CSS,58506
2014,1,5,C++,41527
2014,1,5,C,36693
2014,1,5,Shell,23799
2014,1,5,C#,17185
2014,1,5,Objective-C,12603
2014,1,5,Perl,6877
2014,1,5,VimL,6875
2014,1,5,Go,5826
2014,1,5,TeX,5425
2014,1,5,Scala,4785
2014,1,5,CoffeeScript,4586
2014,1,5,R,3926
2014,1,5,Emacs Lisp,3387
2014,1,5,Lua,3284
2014,1,5,Haskell,3141
2014,1,5,Clojure,2563
2014,1,5,Puppet,2172
2014,1,5,TypeScript,1966
2014,1,5,Matlab,1800
2014,1,5,Groovy,1798
2014,1,5,Erlang,1508
2014,1,5,OCaml,1096
2014,1,5,ActionScript,1080
2014,1,5,XSLT,1074
2014,1,5,Rust,1048
2014,1,5,Dart,864
2014,1,5,Arduino,744
2014,1,5,D,738
2014,1,5,Processing,716
2014,1,5,Common Lisp,680
2014,1,5,Julia,672
2014,1,5,PowerShell,649
2014,1,5,Assembly,596
2014,1,5,Visual Basic,593
2014,1,5,VHDL,566
2014,1,5,Scheme,538
2014,1,5,ASP,499
2014,1,5,FORTRAN,470
2014,1,5,F#,460
2014,1,5,DM,434
2014,1,5,IDL,431
2014,1,5,Pascal,424
2014,1,5,Haxe,399
2014,1,5,Racket,303
2014,1,5,nesC,297
2014,1,5,Elixir,250
2014,1,5,ColdFusion,248
2014,1,5,Logos,240
2014,1,5,BlitzBasic,230
2014,1,5,XML,227
2014,1,5,Vala,223
2014,1,5,Verilog,217
2014,1,5,Tcl,200
2014,1,5,DOT,164
2014,1,5,AutoHotkey,142
2014,1,5,Coq,136
2014,1,5,OpenEdge ABL,116
2014,1,5,LiveScript,112
2014,1,5,Standard ML,109
2014,1,5,Lasso,95
2014,1,5,Apex,94
