year,month,day,repository_language,pushes_by_lang
"null","null","null","null",5
"2011","7","6","Python",1
"2011","8","6","C",1
"2011","12","2","Erlang",1
"2011","12","6","Python",1
"2012","2","5","ActionScript",2
"2012","2","5","Python",1
"2012","2","5","Java",1
"2012","2","5","Ruby",1
"2012","3","1","JavaScript",48327
"2012","3","1","null",37449
"2012","3","1","Ruby",34803
"2012","3","1","Java",32691
"2012","3","1","PHP",24942
"2012","3","1","Python",23997
"2012","3","1","C++",17397
"2012","3","1","C",16695
"2012","3","1","Shell",7767
"2012","3","1","C#",6741
"2012","3","1","Objective-C",4956
"2012","3","1","VimL",4881
"2012","3","1","Perl",3582
"2012","3","1","Haskell",2418
"2012","3","1","Scala",2070
"2012","3","1","Emacs Lisp",1974
"2012","3","1","CoffeeScript",1635
"2012","3","1","Clojure",1560
"2012","3","1","Lua",1497
"2012","3","1","ActionScript",945
"2012","3","1","Go",840
"2012","3","1","Groovy",792
"2012","3","1","Matlab",708
"2012","3","1","Erlang",660
"2012","3","1","Common Lisp",573
"2012","3","1","D",486
"2012","3","1","OCaml",426
"2012","3","1","R",405
"2012","3","1","Scheme",390
"2012","3","1","Delphi",309
"2012","3","1","Assembly",270
"2012","3","1","Puppet",261
"2012","3","1","VHDL",252
"2012","3","1","Prolog",210
"2012","3","1","Verilog",207
"2012","3","1","Racket",189
"2012","3","1","HaXe",171
"2012","3","1","Arduino",171
"2012","3","1","Rust",147
"2012","3","1","F#",144
"2012","3","1","Standard ML",138
"2012","3","1","Ada",129
"2012","3","1","Visual Basic",123
"2012","3","1","Modelica",120
"2012","3","1","AutoHotkey",99
"2012","3","1","FORTRAN",78
"2012","3","1","Objective-J",72
"2012","3","1","Smalltalk",66
"2012","3","1","Vala",66
"2012","3","1","ASP",60
"2012","3","1","Scilab",57
"2012","3","1","ColdFusion",51
"2012","3","1","SuperCollider",51
"2012","3","1","Powershell",51
"2012","3","1","Tcl",45
"2012","3","1","Elixir",42
"2012","3","1","XQuery",42
"2012","3","1","Coq",27
"2012","3","1","Ioke",27
"2012","3","1","Nemerle",24
"2012","3","1","Eiffel",24
"2012","3","1","Parrot",15
"2012","3","1","Factor",15
"2012","3","1","Io",12
"2012","3","1","Nimrod",9
"2012","3","1","Pure Data",9
"2012","3","1","Arc",9
"2012","3","1","Opa",6
"2012","3","1","Rebol",6
"2012","3","1","Turing",6
"2012","3","1","Dylan",3
"2012","3","1","Boo",3
"2012","3","1","Gosu",3
"2012","3","2","JavaScript",70476
"2012","3","2","Java",51750
"2012","3","2","Ruby",49005
"2012","3","2","null",46290
"2012","3","2","Python",38883
"2012","3","2","PHP",38244
"2012","3","2","C++",24105
"2012","3","2","C",22002
"2012","3","2","Shell",10938
"2012","3","2","C#",8640
"2012","3","2","Objective-C",7482
"2012","3","2","VimL",6918
"2012","3","2","Perl",5535
"2012","3","2","Scala",3000
"2012","3","2","Haskell",2673
"2012","3","2","Emacs Lisp",2538
"2012","3","2","CoffeeScript",2199
"2012","3","2","Lua",1641
"2012","3","2","Clojure",1590
"2012","3","2","ActionScript",1368
"2012","3","2","Matlab",1233
"2012","3","2","R",1131
"2012","3","2","Go",1056
"2012","3","2","Erlang",987
"2012","3","2","Groovy",969
"2012","3","2","OCaml",762
"2012","3","2","Puppet",708
"2012","3","2","Common Lisp",582
"2012","3","2","Delphi",393
"2012","3","2","D",387
"2012","3","2","Prolog",339
"2012","3","2","Assembly",324
"2012","3","2","Scheme",321
"2012","3","2","Rust",306
"2012","3","2","Arduino",294
"2012","3","2","Powershell",279
"2012","3","2","Racket",252
"2012","3","2","ColdFusion",234
"2012","3","2","VHDL",234
"2012","3","2","FORTRAN",219
"2012","3","2","HaXe",213
"2012","3","2","Standard ML",207
