year,quarter,repository_language,pushes_by_lang
null,null,null,7865
2011,1,Java,1
2011,3,Python,1
2011,3,C,1
2011,4,PHP,1
2011,4,Python,1
2011,4,Verilog,1
2011,4,Erlang,1
2012,1,JavaScript,539118
2012,1,Java,407395
2012,1,Ruby,392689
2012,1,null,344325
2012,1,Python,316981
2012,1,PHP,295629
2012,1,C++,195381
2012,1,C,192027
2012,1,Shell,90207
2012,1,C#,70956
2012,1,Objective-C,57222
2012,1,VimL,50820
2012,1,Perl,42774
2012,1,Scala,24360
2012,1,Emacs Lisp,19878
2012,1,Haskell,19128
2012,1,CoffeeScript,17310
2012,1,Clojure,13272
2012,1,Lua,13176
2012,1,ActionScript,10550
2012,1,Erlang,9393
2012,1,Go,8658
2012,1,Groovy,8394
2012,1,R,8295
2012,1,Matlab,6981
2012,1,Puppet,6531
2012,1,OCaml,5703
2012,1,D,4182
2012,1,Common Lisp,3972
2012,1,Delphi,3615
2012,1,Scheme,2532
2012,1,Assembly,2457
2012,1,Rust,2448
2012,1,Prolog,2052
2012,1,VHDL,1986
2012,1,Arduino,1932
2012,1,ColdFusion,1830
2012,1,Verilog,1782
2012,1,F#,1548
2012,1,Racket,1545
2012,1,HaXe,1527
2012,1,FORTRAN,1455
2012,1,Powershell,1425
2012,1,Visual Basic,1200
2012,1,Standard ML,1128
2012,1,Objective-J,1035
2012,1,Vala,858
2012,1,ASP,816
2012,1,Eiffel,738
2012,1,Tcl,732
2012,1,AutoHotkey,591
2012,1,SuperCollider,585
2012,1,Scilab,567
2012,1,Elixir,507
2012,1,Coq,420
2012,1,Smalltalk,381
2012,1,Ada,381
2012,1,Pure Data,357
2012,1,Nemerle,285
2012,1,Modelica,279
2012,1,OpenEdge ABL,273
2012,1,XQuery,252
2012,1,Boo,204
2012,1,Ioke,192
2012,1,PowerShell,153
2012,1,Io,123
2012,1,Rebol,117
2012,1,Opa,108
2012,1,Nimrod,108
2012,1,Turing,105
2012,1,Factor,96
2012,1,Dylan,90
2012,1,Arc,90
2012,1,Apex,75
2012,1,Gosu,72
2012,1,Parrot,60
2012,1,Bro,30
2012,1,Max/MSP,27
2012,1,Fancy,18
2012,1,Fantom,18
2012,1,Kotlin,12
2012,1,Self,9
2012,1,Logtalk,6
2012,1,Nu,3
2012,1,Mirah,3
2012,2,JavaScript,2342847
2012,2,Java,1685180
2012,2,Ruby,1600014
2012,2,null,1436392
2012,2,Python,1287025
2012,2,PHP,1235762
2012,2,C,816515
2012,2,C++,804983
2012,2,Shell,380438
2012,2,C#,296319
2012,2,Objective-C,218352
2012,2,VimL,197578
2012,2,Perl,188953
2012,2,Scala,107164
2012,2,CoffeeScript,90799
2012,2,Emacs Lisp,78611
2012,2,Haskell,75254
2012,2,Clojure,58116
2012,2,Lua,48951
2012,2,Erlang,43049
2012,2,Groovy,39756
2012,2,Go,39260
2012,2,ActionScript,39101
2012,2,Matlab,38719
2012,2,R,32086
2012,2,Puppet,26618
2012,2,D,20311
2012,2,OCaml,17733
2012,2,Common Lisp,14486
2012,2,Assembly,12924
2012,2,Delphi,11192
2012,2,Scheme,10204
2012,2,Arduino,9443
2012,2,HaXe,8965
2012,2,Racket,8268
2012,2,FORTRAN,8141
2012,2,Rust,8076
2012,2,ColdFusion,7669
2012,2,VHDL,6990
2012,2,Prolog,6667
2012,2,Visual Basic,6492
2012,2,ASP,5791
2012,2,Tcl,5532
2012,2,Dart,5301
2012,2,PowerShell,4920
2012,2,Verilog,4890
2012,2,Smalltalk,4400
2012,2,F#,4302
2012,2,Julia,4208
2012,2,Vala,3029
2012,2,Objective-J,2588
2012,2,Standard ML,2561
2012,2,DCPU-16 ASM,2481
2012,2,Coq,2432
2012,2,Elixir,2383
2012,2,Ada,2197
2012,2,Scilab,1999
2012,2,AutoHotkey,1874
2012,2,Eiffel,1762
2012,2,Apex,1607
2012,2,OpenEdge ABL,1584
2012,2,SuperCollider,1502
2012,2,Parrot,1381
2012,2,Factor,1226
2012,2,Pure Data,1104
2012,2,Kotlin,1012
2012,2,XQuery,916
2012,2,Io,896
2012,2,Nemerle,805
2012,2,ooc,788
2012,2,Mirah,765
2012,2,Dylan,498
2012,2,Nimrod,474
2012,2,Fancy,405
2012,2,Max/MSP,377
2012,2,Opa,311
2012,2,Turing,264
2012,2,Gosu,250
2012,2,Boo,250
2012,2,Arc,242
2012,2,Self,147
2012,2,Ioke,124
2012,2,Rebol,118
2012,2,Bro,108
2012,2,Logtalk,105
2012,2,Augeas,79
2012,2,Fantom,18
2012,2,DCPU-16 Assembly,6
2012,2,Nu,2
2012,3,JavaScript,2086524
2012,3,null,1227393
2012,3,Ruby,1225978
2012,3,Java,1201917
2012,3,Python,1063846
2012,3,PHP,1032697
2012,3,C,616357
2012,3,C++,615210
2012,3,Perl,471725
2012,3,Shell,311845
2012,3,C#,226726
2012,3,Objective-C,205546
2012,3,VimL,167380
2012,3,Scala,80983
2012,3,CoffeeScript,73513
