year,quarter,repository_language,pushes_by_lang
null,null,null,5
2011,3,Python,1
2011,3,C,1
2011,4,Python,1
2011,4,Erlang,1
2012,1,JavaScript,459615
2012,1,Java,333313
2012,1,null,326262
2012,1,Ruby,317719
2012,1,Python,251917
2012,1,PHP,240768
2012,1,C++,158817
2012,1,C,147576
2012,1,Shell,71451
2012,1,C#,59019
2012,1,Objective-C,47154
2012,1,VimL,45081
2012,1,Perl,36678
2012,1,Scala,20130
2012,1,Haskell,17295
2012,1,Emacs Lisp,16572
2012,1,CoffeeScript,14883
2012,1,Lua,11511
2012,1,Clojure,11040
2012,1,ActionScript,9374
2012,1,Go,7668
2012,1,R,7266
2012,1,Groovy,7152
2012,1,Erlang,6870
2012,1,Matlab,6594
2012,1,OCaml,4758
2012,1,Puppet,4251
2012,1,Common Lisp,3501
2012,1,Delphi,3324
2012,1,D,3111
2012,1,Scheme,2427
2012,1,Assembly,2313
2012,1,Prolog,2040
2012,1,VHDL,1971
2012,1,Rust,1926
2012,1,Arduino,1815
2012,1,Verilog,1548
2012,1,ColdFusion,1509
2012,1,Racket,1434
2012,1,HaXe,1398
2012,1,Powershell,1299
2012,1,FORTRAN,1242
2012,1,F#,1197
2012,1,Visual Basic,1146
2012,1,Standard ML,1062
2012,1,Objective-J,930
2012,1,ASP,768
2012,1,Vala,711
2012,1,Tcl,621
2012,1,SuperCollider,576
2012,1,Scilab,567
2012,1,AutoHotkey,552
2012,1,Eiffel,432
2012,1,Elixir,423
2012,1,Ada,378
2012,1,Smalltalk,351
2012,1,Pure Data,297
2012,1,Modelica,276
2012,1,Coq,273
2012,1,OpenEdge ABL,243
2012,1,XQuery,240
2012,1,Nemerle,210
2012,1,Ioke,192
2012,1,Boo,171
2012,1,PowerShell,138
2012,1,Io,123
2012,1,Nimrod,105
2012,1,Turing,105
2012,1,Opa,99
2012,1,Rebol,84
2012,1,Factor,72
2012,1,Gosu,66
2012,1,Apex,63
2012,1,Dylan,60
2012,1,Parrot,54
2012,1,Arc,39
2012,1,Max/MSP,27
2012,1,Fantom,18
2012,1,Fancy,18
2012,1,Kotlin,12
2012,1,Self,9
2012,1,Logtalk,6
2012,1,Nu,3
2012,1,Mirah,3
2012,2,JavaScript,2008809
2012,2,Java,1396125
2012,2,null,1367996
2012,2,Ruby,1318447
2012,2,Python,1039570
2012,2,PHP,1021291
2012,2,C++,664070
2012,2,C,633163
2012,2,Shell,305830
2012,2,C#,250469
2012,2,Objective-C,181552
2012,2,VimL,175716
2012,2,Perl,162190
2012,2,Scala,87415
2012,2,CoffeeScript,80386
2012,2,Haskell,66969
2012,2,Emacs Lisp,65991
2012,2,Clojure,48658
2012,2,Lua,43790
2012,2,Matlab,36724
2012,2,Go,35947
2012,2,ActionScript,35016
2012,2,Groovy,34446
2012,2,Erlang,32023
2012,2,R,28770
2012,2,Puppet,18278
2012,2,D,15979
2012,2,OCaml,14437
2012,2,Common Lisp,12947
2012,2,Assembly,11976
2012,2,Delphi,10346
2012,2,Scheme,9827
2012,2,Arduino,8862
2012,2,HaXe,8014
2012,2,Racket,7841
2012,2,FORTRAN,7132
2012,2,VHDL,6912
2012,2,ColdFusion,6572
2012,2,Prolog,6499
2012,2,Visual Basic,6084
2012,2,Rust,6036
2012,2,ASP,5717
2012,2,Tcl,5281
2012,2,Dart,5005
2012,2,Verilog,4220
2012,2,PowerShell,4185
2012,2,Smalltalk,3738
2012,2,F#,3644
2012,2,Julia,3148
2012,2,Standard ML,2531
2012,2,Vala,2457
2012,2,DCPU-16 ASM,2197
2012,2,Ada,2148
2012,2,Scilab,1971
2012,2,Elixir,1928
2012,2,Objective-J,1758
2012,2,AutoHotkey,1730
2012,2,Coq,1708
2012,2,OpenEdge ABL,1567
2012,2,SuperCollider,1427
2012,2,Apex,1405
2012,2,Parrot,1354
2012,2,Eiffel,1123
2012,2,Pure Data,1068
2012,2,Factor,997
2012,2,Kotlin,934
2012,2,Io,872
2012,2,XQuery,853
2012,2,Mirah,765
2012,2,ooc,675
2012,2,Nemerle,648
2012,2,Nimrod,451
2012,2,Fancy,405
2012,2,Max/MSP,377
2012,2,Dylan,340
2012,2,Opa,258
2012,2,Turing,246
2012,2,Gosu,215
2012,2,Arc,201
2012,2,Boo,193
2012,2,Ioke,124
2012,2,Logtalk,105
2012,2,Rebol,103
2012,2,Bro,69
2012,2,Augeas,54
2012,2,Self,14
2012,2,Fantom,9
2012,2,Nu,2
2012,3,JavaScript,1782007
2012,3,null,1167131
2012,3,Ruby,1008637
2012,3,Java,970774
2012,3,PHP,868817
2012,3,Python,850831
2012,3,C++,486993
2012,3,C,461235
2012,3,Perl,438535
2012,3,Shell,252270
2012,3,C#,193872
2012,3,Objective-C,171106
2012,3,VimL,147597
2012,3,Scala,63966
2012,3,CoffeeScript,63604
2012,3,Emacs Lisp,58714
2012,3,Lua,51575
2012,3,Haskell,51365
2012,3,Go,39781
2012,3,Clojure,38954
2012,3,ActionScript,27586
2012,3,R,26067
2012,3,Groovy,22998
2012,3,Puppet,19096
2012,3,Erlang,19052
2012,3,Matlab,11405
2012,3,D,11039
2012,3,OCaml,10708
2012,3,Common Lisp,10061
2012,3,Arduino,8654
