search_parameter,conditions,description,year,language,repos_by_lang_t1,repos_by_lang_t2,repos_by_lang_t3,repos_t2,issues_t2,users_t2,repos_t3,issues_t3,users_t3
created:2007-01-01..2007-12-31,fork:false,return repos not including forks,2007,Ruby,1,1,1,1,973,3,1,973,3
created:2008-01-01..2008-12-31,fork:false,return repos not including forks,2008,Ruby,8047,8023,8018,22881,3527,41543,22954,2081,41541
created:2008-01-01..2008-12-31,fork:false,return repos not including forks,2008,Javascript,2066,2067,2063,22881,3527,41543,22954,2081,41541
created:2008-01-01..2008-12-31,fork:false,return repos not including forks,2008,Python,1505,1504,1503,22881,3527,41543,22954,2081,41541
created:2008-01-01..2008-12-31,fork:false,return repos not including forks,2008,C,936,940,938,22881,3527,41543,22954,2081,41541
created:2008-01-01..2008-12-31,fork:false,return repos not including forks,2008,PHP,785,785,783,22881,3527,41543,22954,2081,41541
created:2008-01-01..2008-12-31,fork:false,return repos not including forks,2008,Perl,773,774,775,22881,3527,41543,22954,2081,41541
created:2008-01-01..2008-12-31,fork:false,return repos not including forks,2008,Java,594,596,596,22881,3527,41543,22954,2081,41541
created:2008-01-01..2008-12-31,fork:false,return repos not including forks,2008,C++,546,546,546,22881,3527,41543,22954,2081,41541
created:2008-01-01..2008-12-31,fork:false,return repos not including forks,2008,Objective-C,313,311,311,22881,3527,41543,22954,2081,41541
created:2008-01-01..2008-12-31,fork:false,return repos not including forks,2008,Shell,290,290,288,22881,3527,41543,22954,2081,41541
created:2009-01-01..2009-12-31,fork:false,return repos not including forks,2009,Perl,25708,25709,25708,112287,49314,112493,112144,48199,122469
created:2009-01-01..2009-12-31,fork:false,return repos not including forks,2009,Ruby,17729,17785,17748,112287,49314,112493,112144,48199,122469
created:2009-01-01..2009-12-31,fork:false,return repos not including forks,2009,Javascript,8190,8173,8161,112287,49314,112493,112144,48199,122469
created:2009-01-01..2009-12-31,fork:false,return repos not including forks,2009,Python,7703,7694,7689,112287,49314,112493,112144,48199,122469
created:2009-01-01..2009-12-31,fork:false,return repos not including forks,2009,PHP,4532,4544,4540,112287,49314,112493,112144,48199,122469
created:2009-01-01..2009-12-31,fork:false,return repos not including forks,2009,C,4466,4467,4461,112287,49314,112493,112144,48199,122469
created:2009-01-01..2009-12-31,fork:false,return repos not including forks,2009,Java,4159,4165,4159,112287,49314,112493,112144,48199,122469
created:2009-01-01..2009-12-31,fork:false,return repos not including forks,2009,C++,2770,2764,2762,112287,49314,112493,112144,48199,122469
created:2009-01-01..2009-12-31,fork:false,return repos not including forks,2009,Objective-C,1768,1784,1779,112287,49314,112493,112144,48199,122469
created:2009-01-01..2009-12-31,fork:false,return repos not including forks,2009,Emacs Lisp,1672,1666,1665,112287,49314,112493,112144,48199,122469
created:2010-01-01..2010-12-31,fork:false,return repos not including forks,2010,Ruby,31871,31863,31804,215568,206332,339485,215173,205405,339416
created:2010-01-01..2010-12-31,fork:false,return repos not including forks,2010,Javascript,23257,23286,23234,215568,206332,339485,215173,205405,339416
created:2010-01-01..2010-12-31,fork:false,return repos not including forks,2010,Python,18038,18102,18081,215568,206332,339485,215173,205405,339416
created:2010-01-01..2010-12-31,fork:false,return repos not including forks,2010,PHP,14438,14445,14422,215568,206332,339485,215173,205405,339416
created:2010-01-01..2010-12-31,fork:false,return repos not including forks,2010,Java,14420,14395,14382,215568,206332,339485,215173,205405,339416
created:2010-01-01..2010-12-31,fork:false,return repos not including forks,2010,C,9998,9979,9970,215568,206332,339485,215173,205405,339416
created:2010-01-01..2010-12-31,fork:false,return repos not including forks,2010,C++,6595,6568,6566,215568,206332,339485,215173,205405,339416
created:2010-01-01..2010-12-31,fork:false,return repos not including forks,2010,VimL,6123,6110,6106,215568,206332,339485,215173,205405,339416
created:2010-01-01..2010-12-31,fork:false,return repos not including forks,2010,Perl,5953,5948,5950,215568,206332,339485,215173,205405,339416
created:2010-01-01..2010-12-31,fork:false,return repos not including forks,2010,C#,3896,3906,3896,215568,206332,339485,215173,205405,339416
created:2011-01-01..2011-12-31,fork:false,return repos not including forks,2011,Ruby,71581,71233,71013,532441,839166,714581,531107,835539,714401
created:2011-01-01..2011-12-31,fork:false,return repos not including forks,2011,Javascript,61082,61185,61035,532441,839166,714581,531107,835539,714401
created:2011-01-01..2011-12-31,fork:false,return repos not including forks,2011,Java,46567,46517,46413,532441,839166,714581,531107,835539,714401
created:2011-01-01..2011-12-31,fork:false,return repos not including forks,2011,Python,41088,41149,41086,532441,839166,714581,531107,835539,714401
created:2011-01-01..2011-12-31,fork:false,return repos not including forks,2011,PHP,37071,37401,37303,532441,839166,714581,531107,835539,714401
created:2011-01-01..2011-12-31,fork:false,return repos not including forks,2011,C,21839,21833,21792,532441,839166,714581,531107,835539,714401
created:2011-01-01..2011-12-31,fork:false,return repos not including forks,2011,C++,17656,17611,17582,532441,839166,714581,531107,835539,714401
created:2011-01-01..2011-12-31,fork:false,return repos not including forks,2011,Shell,11083,11061,11056,532441,839166,714581,531107,835539,714401
created:2011-01-01..2011-12-31,fork:false,return repos not including forks,2011,Objective-C,10434,10500,10486,532441,839166,714581,531107,835539,714401
created:2011-01-01..2011-12-31,fork:false,return repos not including forks,2011,C#,10164,10164,10130,532441,839166,714581,531107,835539,714401
